message_id,tag,anon_message
Message-ID: <30441432.1075842317918.JavaMail.evans@thyme>,<|original|>,"Will you be there tonight ? 
 < ANON_NAME > 
 < ANON_NAME > < ANON_NAME > . 
 1400 < ANON_NAME > , EB 3885 
 < ANON_NAME > 77002 
 < ANON_EMAIL > 
 Phone < ANON_PHONE > 
 Fax   < ANON_PHONE >"
Message-ID: <19313841.1075852413904.JavaMail.evans@thyme>,<|original|>,Hello ?
Message-ID: <10184846.1075840000758.JavaMail.evans@thyme>,<|reply3|>,"< ANON_NAME > looks good to me .   Thanks for the update . 
 [NAME]"
Message-ID: <4746100.1075855630598.JavaMail.evans@thyme>,<|original|>,"Forwarded by [NAME] [NAME] [NAME] [NAME] [NAME] / ECT on 05/23/2000 
 08:53 AM 
 < ANON_NAME > 
 05/23/2000 07:19 AM 
 To : < ANON_NAME>/HOU / ECT@ECT , [NAME] [NAME] [NAME] [NAME] [NAME] / ECT@ECT 
 cc :  
 Subject : philly hockey 
  Forwarded by < ANON_NAME>/HOU / ECT on 05/23/2000 
 07:18 AM 
 < ANON_EMAIL > on 05/22/2000 07:09:21 PM 
 To : < ANON_EMAIL > 
 cc :  
 Subject : philly hockey 
 Enjoy ! 
  Forwarded by [NAME] [NAME] [NAME] on 05/22/2000 06:18 
 PM 
 To :    [NAME] [NAME] [NAME] 
 cc : 
 Date : 05/18/2000 09:07 AM 
 From : [NAME] < ANON_NAME > , 565 / 5709 
 Subject :   philly hockey 
  - phillyhockey.jpg 
 < ANON_NAME > < ANON_NAME > 
 Privileged/<ANON_NAME > may be contained in this message .   If you 
 are not the addressee indicated in this message ( or responsible for delivery 
 of 
 the message to such person ) , you may not copy or deliver this message to 
 anyone . 
 In such case , you should destroy this message and kindly notify the sender by 
 reply email . Please advise immediately if you or your employer do not consent 
 to 
 Internet email for messages of this kind .   Opinions , conclusions and other 
 information in this message that do not relate to the official business of my 
 firm shall be understood as neither given nor endorsed by it ."
Message-ID: <14461595.1075852158409.JavaMail.evans@thyme>,<|original|>,"< ANON_NAME > : 10/9/01 ; HourAhead hour : 7 ;   No ancillary schedules awarded .   No variances detected . 
     LOG MESSAGES : 
 PARSING FILE -- > > O:\Portland\WestDesk\<ANON_NAME>\ISO < ANON_NAME>\<ANON_PHONE>.txt 
 Error retrieving HourAhead price data - process continuing ..."
Message-ID: <17897745.1075854622925.JavaMail.evans@thyme>,<|original|>,"< ANON_NAME > , 
 I need to set up a new firm book for gas .   Can you please send me the 
 required documentation ? 
 Thanks , 
 [NAME] [NAME] [NAME] [NAME] [NAME]"
Message-ID: <24648686.1075853830751.JavaMail.evans@thyme>,<|original|>,"< ANON_NAME > 
 < ANON_NAME > 
 08/08/2000 11:34 AM 
 To : < ANON_NAME>/HOU / ECT@ECT 
 cc :  
 Subject : Re : < ANON_NAME >  
 What pipeline ? 
 < ANON_NAME > 
 08/08/2000 11:29 AM 
 To : < ANON_EMAIL > @ ENRON 
 cc : < ANON_NAME>/Corp / Enron@ENRON , < ANON_NAME>/HOU / ECT@ECT 
 Subject : Re : < ANON_NAME >  
 Please send those to < ANON_NAME > and he will get them to the right person .  
 I believe ENA should be paying all those bills effective 1/1/2000 . 
 Scott 's address is 
 [NAME] [NAME] 1188 
 Houston , TX 77251 - 1188 
 His number < ANON_PHONE > 
 thanks . 
 < ANON_EMAIL > on 08/08/2000 11:06:41 AM 
 To : "" - * < ANON_EMAIL > "" < < ANON_EMAIL > > 
 cc : "" - * < ANON_NAME > "" < < ANON_EMAIL > > , "" - * Watkins , 
 [NAME] "" < < ANON_EMAIL > > , "" - * < ANON_NAME > "" 
 < < ANON_EMAIL > > , "" - * < ANON_NAME > "" 
 < < ANON_EMAIL > > 
 Subject : < ANON_NAME > 
 [NAME] , 
    < ANON_NAME > has some outstanding invoices from Jan - Mar of this 
 year 
 for gathering and processing charges against contract 50140 IGS .   I talked 
 with 
 < ANON_NAME > at CES , and he referred me to you .   < ANON_NAME > be paying these 
 charges ?   Do you need me to send copies of the invoices to you , or do you have 
 an accounting contact for me ? 
    Any help you can give me would be greatly appreciated . 
    PS   Credit tells me that the < ANON_NAME > invoice is outstanding , also ."
Message-ID: <10697879.1075859043021.JavaMail.evans@thyme>,<|original|>,"[NAME] , 
	 Please use the attached file for the income to record on companies 0436 and 01A1 related to EOTT income from the "" leased "" assets . 
	 Note that the O&M to be billed EOTT for company 0436 is rollup AFR-436 less cost center 111795 and for company 01A1 is [NAME] [NAME] less 
	 cost center 112109 . 
	 I 'll be on vacation next week but if you have any questions leave them on phone mail and I 'll get back to you as soon as possible .   It appears I will not have 
	 email or internet access .   If you wish to call me I can be reached at < ANON_PHONE > . 
	 Thanks , 
		 [NAME]"
Message-ID: <8675216.1075841891564.JavaMail.evans@thyme>,<|original|>,"The contact is [NAME] [NAME] - it 's been added . 
 [NAME] 
	 From :   < ANON_NAME >                            02/07/2001 02:24 PM 
 To : < ANON_NAME>/PDX / ECT@ECT 
 cc :  
 Subject : # 516508 and 516509 
 These deals need contacts added . 
 Thanks !"
Message-ID: <32415074.1075856314540.JavaMail.evans@thyme>,<|original|>,"Hello < ANON_NAME > , 
 Thank you very much for hosting my visit at Enron . I had a 
 very pleasant time there , and I found the meetings very 
 informative . 
 As discussed during my visit at Enron , I am sending you below 
 a DRAFT of the letter that would be needed to get the program 
 in place and rolling , and start the students working on it . 
 It took a while to find out what the appropriate process was 
 and how the letter should be structured . Sorry for the delay . 
 If I may , I 'd like to visit Enron again , sometime in August , 
 to define the research agenda more precisely and prioritize 
 the problems to look at . I 'm in frequent contact with [NAME] , 
 who is impressed by the environment there . We are trying to formulate 
 the research issues and problems to study , that would be of interest 
 to Enron .   The plan is this : 
 1 ) By < ANON_NAME > will have been there for almost 2 months 
 and will probably have a relatively good understanding of the Enron problem 
 space . 
 2 ) I will work together with [NAME] till August to formulate a set of 
 good problems of : 
 a ) high practical importance 
 b ) high innovation potential 
 c ) serious scope . 
 3 ) I could   visit in August ( say mid - August or so ) to : 
 a ) discuss these problems with you and get your feedback 
 b ) prioritize the problems and evaluate their impact 
 c ) make sure we 're on the same page regarding research strategy 
 and execution path . 
 I hope we can fully set up the program at Stanford before then , so 
 that I can bring on board one more Ph.D. student to start his 
 doctoral work in this area . 
 I 'm all excited about our collaboration . I am even thinking of 
 starting a research seminar at Stanford , specifically on these 
 research issues ! 
 Talk to you soon . 
 < ANON_NAME > , 
 [NAME] [NAME] [NAME] of letter to be sent from Enron to Stanford . 
 Prof. < ANON_NAME > 
 420 < ANON_NAME > < ANON_NAME > Science & Eng . Dept . and 
 < ANON_NAME > < ANON_NAME > < ANON_NAME > , CA 94305 
 < ANON_NAME > , 
 We are happy to provide gift funds of $ 100,000 per year , over 
 three years , to support a program in your research group , related 
 to < ANON_NAME>/Trading and < ANON_NAME > . 
 Enron would like to support research activities in the above 
 mentioned area , including Pd . D. student work , research seminars etc . 
 There may also be opportunities to have the supported Ph.D. students 
 do summer internships at Enron , related to their research interests . 
 Please find enclosed a check of $ 100,000 payable to < ANON_NAME > 
 for supporting this research effort in your group during the first year . 
 < ANON_NAME > , 
 Name and Title"
